
Conexiones activas

  Proto  Direcci¢n local        Direcci¢n remota       Estado
  TCP    192.168.1.23:445       192.168.50.146:56329   ESTABLISHED
  TCP    192.168.1.23:445       NB-116:49756           ESTABLISHED
  TCP    192.168.1.23:445       WKS-016:56005          ESTABLISHED
  TCP    192.168.1.23:445       NB-018:62721           ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.7:51459      ESTABLISHED
  TCP    192.168.1.23:3389      NB-015:49906           ESTABLISHED
  TCP    192.168.1.23:3389      NB-044:62424           ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.13:52983     ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.21:53807     ESTABLISHED
  TCP    192.168.1.23:3389      NB-189:60893           ESTABLISHED
  TCP    192.168.1.23:3389      NB-218:51549           ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.36:51513     ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.39:65178     ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.40:60245     ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.41:59075     ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.52:55126     ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.54:62080     ESTABLISHED
  TCP    192.168.1.23:3389      NB-045:49774           ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.56:63512     ESTABLISHED
  TCP    192.168.1.23:3389      NB-117:51010           ESTABLISHED
  TCP    192.168.1.23:3389      NB-048:54617           ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.71:64555     ESTABLISHED
  TCP    192.168.1.23:3389      172.30.22.73:50680     ESTABLISHED
  TCP    192.168.1.23:3389      NB-170:63556           ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:51576       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:52731       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:53443       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:55746       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:57007       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:58416       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:58443       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:58643       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:58667       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:59411       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:61302       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:62239       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:62660       ESTABLISHED
  TCP    192.168.1.23:3389      SRV-TS-001:63198       ESTABLISHED
  TCP    192.168.1.23:49155     srv-prtg-001:64112     ESTABLISHED
  TCP    192.168.1.23:49227     SRV-TS-001:49728       ESTABLISHED
  TCP    192.168.1.23:49508     40.102.34.194:https    ESTABLISHED
  TCP    192.168.1.23:50519     52.114.132.55:https    ESTABLISHED
  TCP    192.168.1.23:50651     whatsapp-cdn-shv-01-eze1:https  ESTABLISHED
  TCP    192.168.1.23:50845     52.114.132.17:https    ESTABLISHED
  TCP    192.168.1.23:50960     192.168.51.93:8008     ESTABLISHED
  TCP    192.168.1.23:50986     ce-in-f188:5228        ESTABLISHED
  TCP    192.168.1.23:51009     52.97.2.130:https      ESTABLISHED
  TCP    192.168.1.23:51538     40.102.34.194:https    ESTABLISHED
  TCP    192.168.1.23:51776     srv-asr-001:9443       ESTABLISHED
  TCP    192.168.1.23:51845     192.168.51.93:8008     ESTABLISHED
  TCP    192.168.1.23:51868     192.168.51.93:8009     ESTABLISHED
  TCP    192.168.1.23:51878     52.115.92.12:https     ESTABLISHED
  TCP    192.168.1.23:52379     srv-prodsap-001:8100   ESTABLISHED
  TCP    192.168.1.23:52926     Server-AD:microsoft-ds  ESTABLISHED
  TCP    192.168.1.23:53118     srv-dc-003:microsoft-ds  ESTABLISHED
  TCP    192.168.1.23:53245     52.111.225.2:https     ESTABLISHED
  TCP    192.168.1.23:53655     52.111.225.2:https     TIME_WAIT
  TCP    192.168.1.23:53773     srv-it-001:microsoft-ds  ESTABLISHED
  TCP    192.168.1.23:53775     Qlikview:microsoft-ds  ESTABLISHED
  TCP    192.168.1.23:54229     SRV-PTR-001:49670      ESTABLISHED
  TCP    192.168.1.23:54392     152.199.52.147:https   TIME_WAIT
  TCP    192.168.1.23:54399     52.97.28.194:https     TIME_WAIT
  TCP    192.168.1.23:54400     52.97.28.194:https     TIME_WAIT
  TCP    192.168.1.23:54402     52.97.28.194:https     TIME_WAIT
  TCP    192.168.1.23:54541     srv-dc-003:epmap       TIME_WAIT
  TCP    192.168.1.23:54542     srv-dc-003:49667       TIME_WAIT
  TCP    192.168.1.23:54551     52.109.108.96:https    ESTABLISHED
  TCP    192.168.1.23:54557     Server-AD:epmap        ESTABLISHED
  TCP    192.168.1.23:54558     Server-AD:49672        ESTABLISHED
  TCP    192.168.1.23:54563     20.189.173.10:https    ESTABLISHED
  TCP    192.168.1.23:54570     52.97.28.194:https     TIME_WAIT
  TCP    192.168.1.23:54571     20.189.173.10:https    TIME_WAIT
  TCP    192.168.1.23:54576     52.109.108.25:https    TIME_WAIT
  TCP    192.168.1.23:54579     srv-dc-003:epmap       TIME_WAIT
  TCP    192.168.1.23:54580     srv-dc-003:49667       TIME_WAIT
  TCP    192.168.1.23:54589     98:https               TIME_WAIT
  TCP    192.168.1.23:54590     52.104.88.39:https     TIME_WAIT
  TCP    192.168.1.23:54594     srv-dc-003:epmap       TIME_WAIT
  TCP    192.168.1.23:54595     srv-dc-003:49667       ESTABLISHED
  TCP    192.168.1.23:54596     srv-prodsap-001:8100   TIME_WAIT
  TCP    192.168.1.23:54597     srv-prodsap-001:8100   ESTABLISHED
  TCP    192.168.1.23:54602     srv-wsus-001:8530      ESTABLISHED
  TCP    192.168.1.23:54605     srv-asr-001:https      TIME_WAIT
  TCP    192.168.1.23:54606     srv-dc-003:49667       TIME_WAIT
  TCP    192.168.1.23:54614     73-145-30-181:https    ESTABLISHED
  TCP    192.168.1.23:54615     a23-55-76-39:https     ESTABLISHED
  TCP    192.168.1.23:54618     srv-wazuhmanager-001:1514  SYN_SENT
  TCP    192.168.1.23:54623     srv-asr-001:9443       ESTABLISHED
  TCP    192.168.1.23:54631     40.102.32.146:https    ESTABLISHED
  TCP    192.168.1.23:54766     52.97.3.130:https      ESTABLISHED
  TCP    192.168.1.23:56784     52.109.108.63:https    ESTABLISHED
  TCP    192.168.1.23:57154     192.168.51.93:8009     ESTABLISHED
  TCP    192.168.1.23:57177     192.168.51.93:8009     ESTABLISHED
  TCP    192.168.1.23:57227     192.168.51.93:8009     ESTABLISHED
  TCP    192.168.1.23:57233     192.168.51.93:8009     ESTABLISHED
  TCP    192.168.1.23:57235     192.168.51.93:8009     ESTABLISHED
  TCP    192.168.1.23:57260     192.168.51.93:8008     ESTABLISHED
  TCP    192.168.1.23:57265     192.168.51.93:8009     ESTABLISHED
  TCP    192.168.1.23:57299     40.102.33.226:https    ESTABLISHED
  TCP    192.168.1.23:59837     52.109.108.97:https    TIME_WAIT
  TCP    192.168.1.23:61166     52.109.108.96:https    ESTABLISHED
  TCP    192.168.1.23:62568     52.114.128.84:https    ESTABLISHED
  TCP    192.168.1.23:63953     52.97.23.130:https     TIME_WAIT
  TCP    192.168.1.23:64085     52.111.225.2:https     ESTABLISHED
  TCP    192.168.1.23:64971     52.109.108.97:https    ESTABLISHED
  TCP    192.168.1.23:65312     192.168.51.93:8008     ESTABLISHED
  TCP    [::1]:135              Server:49207           ESTABLISHED
  TCP    [::1]:445              Server:49336           ESTABLISHED
  TCP    [::1]:5504             Server:49330           ESTABLISHED
  TCP    [::1]:5504             Server:49334           ESTABLISHED
  TCP    [::1]:49207            Server:epmap           ESTABLISHED
  TCP    [::1]:49330            Server:5504            ESTABLISHED
  TCP    [::1]:49334            Server:5504            ESTABLISHED
  TCP    [::1]:49336            Server:microsoft-ds    ESTABLISHED
  TCP    [::1]:54772            Server:epmap           TIME_WAIT
