Nro. Pedido;Clase Pedido;Fecha Pedido;Proveedor;Centro;Material;Comprador;Cantidad;Importe;Fecha Entrega;Fecha Entrega real;Cond. Pago;Estrategia;Fecha Devolucion;Motivo;Nro. SolPed
4500000029;COM1;23/2/2017;1004;CEN1;1000004;COMP05;4554;$ 516.512;13/4/2017;31/3/2017;CP03;AA04;;;10000029
4500000030;COM3;21/5/2016;1005;CEN1;1000005;COMP03;2063;$ 281.604;27/5/2016;31/5/2016;CP01;AA04;;;10000030
4500000031;COM3;3/7/2017;1007;CEN3;1000001;COMP05;4276;$ 276.478;24/8/2017;20/8/2017;CP01;AA01;;;10000031
4500000032;COM1;20/8/2016;1006;CEN2;1000003;COMP03;2423;$ 175.144;12/9/2016;18/9/2016;CP01;AA01;;;10000032
4500000033;COM2;28/3/2017;1007;CEN1;1000001;COMP04;798;$ 276.166;;;CP04;AA04;;;10000033
4500000034;COM3;27/11/2016;1000;CEN3;1000004;COMP01;196;$ 59.999;1/12/2016;3/12/2016;CP04;AA03;;;10000034
4500000035;COM2;8/7/2017;1009;CEN1;1000001;COMP05;329;$ 611.106;20/7/2017;2/7/2017;CP01;AA03;;;10000035
4500000036;COM3;17/9/2016;1004;CEN1;1000002;COMP03;1822;$ 123.701;29/11/2016;18/12/2016;CP02;AA03;;;10000036
4500000037;COM1;10/12/2017;1004;CEN3;1000006;COMP02;1037;$ 532.336;18/12/2017;15/12/2017;CP01;AA03;18/12/2017;ENVA;10000037
4500000038;COM2;29/3/2017;1005;CEN2;1000003;COMP04;4450;$ 708.320;5/4/2017;7/4/2017;CP03;AA03;;;10000038
4500000039;COM2;13/3/2017;1010;CEN2;1000003;COMP05;970;$ 57.888;18/3/2017;1/3/2017;CP04;AA01;;;10000039
4500000040;COM1;25/8/2016;1005;CEN2;1000006;COMP05;723;$ 233.112;;;CP04;AA02;;;10000040
4500000041;COM2;1/7/2016;1004;CEN2;1000005;COMP04;1773;$ 368.213;22/7/2016;20/7/2016;CP01;AA04;;;10000041
4500000042;COM1;1/5/2016;1001;CEN2;1000005;COMP04;2925;$ 49.725;5/5/2016;18/5/2016;CP01;AA02;;;10000042
4500000043;COM3;16/9/2016;1009;CEN1;1000001;COMP05;3477;$ 479.612;21/9/2016;10/9/2016;CP02;AA02;;;10000043
4500000044;COM1;22/11/2016;1009;CEN2;1000002;COMP03;1108;$ 298.385;4/12/2016;16/12/2016;CP01;AA03;;;10000044
4500000045;COM1;17/10/2017;1002;CEN3;1000001;COMP02;1142;$ 453.875;22/10/2017;16/10/2017;CP01;AA01;;;10000045
4500000046;COM1;22/12/2017;1009;CEN1;1000001;COMP03;4977;$ 428.052;24/12/2017;19/1/2018;CP02;AA02;;;10000046
4500000047;COM1;9/7/2017;1004;CEN3;1000004;COMP02;5378;$ 825.793;;;CP03;AA04;;;10000047
4500000048;COM3;16/12/2016;1006;CEN3;1000002;COMP02;2516;$ 23.319;18/12/2016;29/12/2016;CP04;AA03;;;10000048
4500000049;COM3;7/12/2016;1008;CEN1;1000006;COMP03;2352;$ 895.903;9/1/2017;6/1/2017;CP01;AA01;;;10000049
4500000050;COM1;3/11/2017;1003;CEN2;1000001;COMP03;1623;$ 684.166;5/11/2017;8/11/2017;CP01;AA02;12/11/2017;CANT;10000050
4500000051;COM2;23/11/2017;1008;CEN2;1000006;COMP02;3258;$ 618.418;25/11/2017;24/11/2017;CP03;AA04;;;10000051
4500000052;COM1;31/10/2016;1005;CEN2;1000004;COMP02;4684;$ 754.690;2/11/2016;12/11/2016;CP03;AA02;;;10000052
4500000053;COM3;15/3/2017;1006;CEN1;1000002;COMP03;888;$ 124.467;8/4/2017;2/4/2017;CP01;AA03;;;10000053
4500000054;COM3;30/1/2017;1002;CEN1;1000001;COMP04;4737;$ 891.480;;;CP02;AA01;;;10000054
4500000055;COM2;13/10/2017;1008;CEN3;1000006;COMP03;3833;$ 6.135;24/10/2017;19/10/2017;CP03;AA01;;;10000055
4500000056;COM1;26/6/2017;1001;CEN3;1000001;COMP05;5428;$ 733.319;19/8/2017;2/9/2017;CP03;AA01;;;10000056
4500000057;COM2;4/2/2016;1000;CEN3;1000004;COMP03;5033;$ 282.896;17/2/2016;23/1/2016;CP03;AA01;;;10000057
4500000058;COM2;10/4/2017;1002;CEN3;1000001;COMP05;3234;$ 3.091;18/6/2017;22/6/2017;CP01;AA04;;;10000058
4500000059;COM1;31/5/2017;1006;CEN2;1000002;COMP04;1928;$ 23.494;28/6/2017;21/6/2017;CP02;AA04;;;10000059
4500000060;COM1;19/8/2017;1003;CEN2;1000006;COMP03;1557;$ 704.256;10/10/2017;13/10/2017;CP04;AA04;;;10000060
4500000061;COM1;15/1/2016;1010;CEN3;1000006;COMP04;663;$ 844.197;;;CP03;AA03;;;10000061
4500000062;COM2;4/10/2016;1002;CEN1;1000005;COMP01;272;$ 455.049;9/1/2017;10/1/2017;CP02;AA02;;;10000062
4500000063;COM2;11/3/2017;1005;CEN2;1000006;COMP01;1325;$ 430.407;6/4/2017;18/3/2017;CP01;AA04;21/3/2017;ESTA;10000063
4500000064;COM3;21/5/2016;1008;CEN1;1000004;COMP03;3605;$ 688.631;20/8/2016;1/9/2016;CP04;AA02;;;10000064
4500000065;COM3;7/11/2016;1003;CEN1;1000006;COMP01;593;$ 82.489;14/12/2016;5/12/2016;CP02;AA02;;;10000065
4500000066;COM1;6/11/2016;1000;CEN1;1000005;COMP05;5527;$ 443.174;9/1/2017;14/1/2017;CP01;AA04;;;10000066
4500000067;COM1;19/5/2017;1004;CEN1;1000005;COMP01;5572;$ 199.976;4/6/2017;25/5/2017;CP03;AA01;;;10000067
4500000068;COM2;27/1/2017;1003;CEN3;1000002;COMP03;3726;$ 665.809;;;CP03;AA03;;;10000068
4500000069;COM1;4/11/2016;1004;CEN2;1000005;COMP03;368;$ 584.745;7/11/2016;5/11/2016;CP04;AA01;;;10000069
4500000070;COM2;14/8/2017;1010;CEN2;1000006;COMP01;2862;$ 440.476;29/8/2017;10/9/2017;CP01;AA04;;;10000070
4500000071;COM1;21/7/2016;1004;CEN2;1000004;COMP03;2438;$ 694.276;11/9/2016;10/9/2016;CP04;AA04;;;10000071
4500000072;COM3;6/10/2016;1007;CEN2;1000003;COMP04;4191;$ 850.696;2/11/2016;14/11/2016;CP04;AA02;;;10000072
4500000073;COM3;4/7/2017;1008;CEN2;1000001;COMP01;4229;$ 91.459;24/7/2017;19/7/2017;CP01;AA02;;;10000073
4500000074;COM3;4/11/2017;1010;CEN1;1000001;COMP04;1164;$ 913.122;9/11/2017;24/11/2017;CP03;AA04;;;10000074
4500000075;COM3;4/5/2017;1001;CEN3;1000006;COMP03;5325;$ 163.560;;;CP03;AA03;;;10000075
4500000076;COM3;12/5/2017;1007;CEN1;1000005;COMP02;853;$ 254.126;22/7/2017;7/8/2017;CP04;AA03;10/8/2017;CANT;10000076
4500000077;COM3;22/11/2017;1001;CEN2;1000002;COMP03;3896;$ 172.545;15/12/2017;10/12/2017;CP04;AA03;;;10000077
4500000078;COM2;23/1/2017;1002;CEN2;1000003;COMP03;626;$ 878.584;31/1/2017;2/2/2017;CP02;AA01;;;10000078
4500000079;COM1;25/6/2016;1007;CEN3;1000004;COMP03;4973;$ 899.130;11/8/2016;1/8/2016;CP04;AA03;;;10000079
4500000080;COM1;8/12/2017;1007;CEN2;1000003;COMP01;3178;$ 724.313;9/12/2017;12/12/2017;CP04;AA02;;;10000080
4500000081;COM2;24/4/2017;1000;CEN1;1000001;COMP04;2485;$ 222.567;30/5/2017;26/5/2017;CP01;;;;10000081
4500000082;COM2;12/4/2017;1006;CEN1;1000001;COMP01;2462;$ 358.643;;;CP02;AA03;;;10000082
4500000083;COM2;14/10/2017;1009;CEN2;1000001;COMP02;5204;$ 146.194;16/10/2017;23/9/2017;CP03;AA01;;;10000083
4500000084;COM2;18/7/2017;1007;CEN3;1000002;COMP03;1138;$ 319.142;28/8/2017;29/8/2017;CP03;AA01;;;10000084
4500000085;COM2;21/10/2017;1005;CEN3;1000004;COMP05;4964;$ 97.381;29/11/2017;21/11/2017;CP01;AA02;;;10000085
4500000086;COM1;6/5/2016;1000;CEN1;1000006;COMP01;4176;$ 69.836;12/5/2016;18/5/2016;CP04;AA02;;;10000086
4500000087;COM3;25/7/2016;1008;CEN1;1000002;COMP02;2976;$ 49.231;9/8/2016;7/8/2016;CP04;AA01;;;10000087
4500000088;COM2;4/10/2017;1003;CEN2;1000005;COMP01;2541;$ 195.027;8/10/2017;9/10/2017;CP01;AA01;;;10000088
4500000089;COM1;9/4/2017;1006;CEN3;1000004;COMP04;903;$ 643.917;;;CP02;AA04;;;10000089
4500000090;COM1;11/5/2016;1000;CEN2;1000003;COMP04;1422;$ 440.982;27/5/2016;28/5/2016;CP04;AA01;;;10000090
4500000091;COM1;23/11/2016;1004;CEN3;1000006;COMP04;1487;$ 755.529;14/2/2017;5/2/2017;CP04;AA01;;;10000091
4500000092;COM1;5/8/2016;1002;CEN2;1000002;COMP01;2260;$ 164.090;19/9/2016;28/9/2016;CP01;AA04;;;10000092
4500000093;COM2;9/10/2016;1000;CEN2;1000003;COMP03;1792;$ 295.908;24/10/2016;20/10/2016;CP03;AA04;;;10000093
4500000094;COM1;21/4/2016;1010;CEN3;1000005;COMP03;5621;$ 377.541;24/4/2016;25/4/2016;CP02;AA01;;;10000094
4500000095;COM1;29/11/2016;1000;CEN2;1000005;COMP02;1195;$ 433.947;2/2/2017;1/2/2017;CP02;AA01;;;10000095
4500000096;COM3;1/5/2016;1002;CEN1;1000005;COMP02;5019;$ 573.765;;;CP04;AA04;;;10000096
4500000097;COM2;31/5/2016;1007;CEN3;1000001;COMP02;2865;$ 783.647;22/6/2016;18/6/2016;CP03;AA01;;;10000097
4500000098;COM1;17/12/2016;1008;CEN1;1000001;COMP04;2763;$ 77.777;7/1/2017;9/1/2017;CP04;AA02;;;10000098
4500000099;COM2;8/11/2017;1002;CEN1;1000003;COMP05;1171;$ 646.505;16/11/2017;29/10/2017;CP02;AA01;;;10000099
4500000100;COM1;16/7/2017;1010;CEN3;1000004;COMP04;2918;$ 25.827;31/7/2017;12/8/2017;CP03;AA04;;;10000100
4500000101;COM2;27/8/2016;1008;CEN2;1000006;COMP04;380;$ 274.895;22/10/2016;27/9/2016;CP01;AA02;;;10000101
4500000102;COM1;21/3/2017;1008;CEN2;1000002;COMP05;166;$ 683.146;18/4/2017;2/5/2017;CP04;AA02;3/5/2017;PLAZ;10000102
4500000103;COM2;20/2/2017;1000;CEN1;1000005;COMP04;3131;$ 242.160;;;CP03;AA01;;;10000103
4500000104;COM2;24/2/2016;1006;CEN1;1000002;COMP05;2562;$ 296.736;28/2/2016;29/2/2016;CP02;;;;10000104
4500000105;COM1;9/1/2016;1000;CEN3;1000003;COMP01;143;$ 435.840;6/2/2016;2/2/2016;CP04;AA01;;;10000105
4500000106;COM2;1/11/2016;1006;CEN3;1000006;COMP02;3405;$ 409.067;27/11/2016;8/12/2016;CP04;AA02;;;10000106
4500000107;COM2;27/12/2017;1007;CEN1;1000005;COMP02;860;$ 698.180;22/1/2018;15/1/2018;CP03;AA01;;;10000107
4500000108;COM1;22/8/2017;1000;CEN2;1000003;COMP04;1706;$ 761.655;28/10/2017;5/11/2017;CP04;AA03;;;10000108
4500000109;COM2;25/2/2017;1003;CEN1;1000003;COMP02;4858;$ 716.130;13/4/2017;9/4/2017;CP03;AA01;;;10000109
4500000110;COM1;30/4/2017;1010;CEN3;1000003;COMP03;1459;$ 198.236;;;CP02;AA03;;;10000110
4500000111;COM2;21/8/2017;1006;CEN1;1000005;COMP01;4707;$ 422.840;28/8/2017;17/8/2017;CP04;AA01;;;10000111
4500000112;COM2;1/11/2017;1008;CEN3;1000005;COMP04;3712;$ 272.406;2/12/2017;6/12/2017;CP02;AA02;;;10000112
4500000113;COM2;14/12/2016;1009;CEN2;1000006;COMP05;684;$ 991.644;16/12/2016;28/11/2016;CP04;AA04;;;10000113
4500000114;COM1;29/4/2017;1004;CEN1;1000001;COMP02;2362;$ 570.292;3/6/2017;4/6/2017;CP03;AA03;;;10000114
4500000115;COM2;5/7/2016;1008;CEN3;1000005;COMP05;1581;$ 345.738;22/7/2016;21/7/2016;CP03;AA04;22/7/2016;CANT;10000115
4500000116;COM3;2/7/2017;1010;CEN3;1000002;COMP02;471;$ 670.572;3/8/2017;17/8/2017;CP04;AA04;;;10000116
4500000117;COM2;31/8/2016;1005;CEN3;1000005;COMP01;2812;$ 624.941;;;CP04;AA01;;;10000117
4500000118;COM3;13/4/2016;1000;CEN1;1000006;COMP04;1111;$ 48.031;6/5/2016;7/5/2016;CP03;AA01;;;10000118
4500000119;COM1;21/7/2016;1003;CEN3;1000005;COMP05;2122;$ 604.789;6/8/2016;5/8/2016;CP01;AA01;;;10000119
4500000120;COM2;13/11/2016;1005;CEN2;1000003;COMP03;4249;$ 493.567;27/12/2016;17/1/2017;CP04;AA04;;;10000120
4500000121;COM2;28/5/2016;1000;CEN3;1000002;COMP03;3544;$ 747.824;18/7/2016;6/7/2016;CP04;AA01;;;10000121
4500000122;COM2;9/3/2016;1007;CEN1;1000002;COMP04;5287;$ 59.887;11/3/2016;12/3/2016;CP01;AA02;;;10000122
4500000123;COM3;4/7/2017;1006;CEN1;1000002;COMP03;3539;$ 310.590;22/7/2017;20/7/2017;CP04;AA03;;;10000123
4500000124;COM2;20/7/2016;1000;CEN1;1000003;COMP03;1040;$ 155.995;;;CP04;AA03;;;10000124
4500000125;COM3;22/11/2016;1000;CEN2;1000004;COMP01;2491;$ 148.092;11/12/2016;21/11/2016;CP02;AA01;;;10000125
4500000126;COM2;27/3/2017;1005;CEN2;1000006;COMP04;5496;$ 681.812;28/3/2017;18/4/2017;CP04;AA03;;;10000126
4500000127;COM2;9/7/2017;1009;CEN3;1000001;COMP02;2960;$ 56.647;22/8/2017;15/8/2017;CP02;AA01;;;10000127
4500000128;COM1;23/1/2017;1008;CEN1;1000001;COMP02;1951;$ 659.520;29/1/2017;10/2/2017;CP03;AA01;11/2/2017;ENVA;10000128
4500000129;COM3;16/6/2016;1000;CEN2;1000004;COMP01;5225;$ 450.587;30/6/2016;25/6/2016;CP02;AA04;;;10000129
4500000130;COM1;23/10/2016;1000;CEN1;1000005;COMP05;398;$ 226.211;13/1/2017;21/1/2017;CP02;AA04;;;10000130
4500000131;COM3;23/7/2016;1000;CEN2;1000006;COMP05;3429;$ 764.075;;;CP01;AA04;;;10000131
4500000132;COM3;29/5/2016;1007;CEN3;1000003;COMP05;3408;$ 609.296;2/6/2016;19/6/2016;CP02;AA04;;;10000132
4500000133;COM1;10/3/2016;1007;CEN1;1000005;COMP03;4110;$ 461.678;3/4/2016;26/3/2016;CP04;AA01;;;10000133
4500000134;COM1;21/5/2017;1007;CEN3;1000004;COMP03;3802;$ 891.581;24/7/2017;25/7/2017;CP01;AA01;;;10000134
4500000135;COM1;12/2/2017;1007;CEN2;1000001;COMP01;2165;$ 225.490;17/4/2017;11/4/2017;CP04;AA04;;;10000135
4500000136;COM1;6/6/2016;1000;CEN3;1000003;COMP01;4992;$ 884.516;24/6/2016;14/7/2016;CP01;AA04;;;10000136
4500000137;COM2;22/9/2016;1006;CEN3;1000003;COMP03;1964;$ 702.185;3/10/2016;1/10/2016;CP04;AA01;;;10000137
4500000138;COM2;17/10/2016;1010;CEN3;1000004;COMP05;1610;$ 723.071;;;CP02;AA03;;;10000138
4500000139;COM2;9/4/2017;1002;CEN3;1000005;COMP05;1568;$ 643.316;10/5/2017;26/4/2017;CP02;AA03;;;10000139
4500000140;COM2;28/11/2016;1010;CEN3;1000003;COMP03;2754;$ 262.872;1/12/2016;6/12/2016;CP01;AA02;;;10000140
4500000141;COM3;24/2/2017;1003;CEN1;1000003;COMP04;18;$ 880.335;1/3/2017;28/2/2017;CP03;;1/3/2017;ESTA;10000141
4500000142;COM2;21/8/2016;1003;CEN2;1000006;COMP05;1490;$ 677.145;27/8/2016;28/8/2016;CP02;AA02;;;10000142
4500000143;COM3;28/8/2016;1004;CEN1;1000006;COMP04;1193;$ 847.291;30/8/2016;15/8/2016;CP03;AA02;;;10000143
4500000144;COM2;10/4/2017;1003;CEN3;1000001;COMP05;301;$ 274.225;30/6/2017;11/7/2017;CP01;AA04;;;10000144
4500000145;COM1;1/6/2016;1000;CEN3;1000006;COMP01;4438;$ 66.269;;;CP02;AA03;;;10000145
4500000146;COM1;24/2/2016;1004;CEN3;1000005;COMP04;1431;$ 185.231;17/3/2016;31/3/2016;CP02;;;;10000146
4500000147;COM3;10/10/2016;1002;CEN3;1000003;COMP02;791;$ 817.427;14/10/2016;21/9/2016;CP04;AA02;;;10000147
4500000148;COM2;27/3/2017;1002;CEN1;1000004;COMP04;4542;$ 781.828;21/5/2017;22/5/2017;CP02;AA02;;;10000148
4500000149;COM2;21/9/2016;1000;CEN2;1000005;COMP04;2888;$ 952.892;6/10/2016;4/10/2016;CP03;AA02;;;10000149
4500000150;COM2;21/12/2017;1005;CEN2;1000003;COMP03;4626;$ 134.811;25/12/2017;28/12/2017;CP01;AA03;;;10000150
4500000151;COM3;19/6/2017;1003;CEN3;1000003;COMP03;2169;$ 925.469;26/8/2017;20/8/2017;CP04;AA03;;;10000151
4500000152;COM1;17/8/2016;1006;CEN3;1000004;COMP05;4168;$ 408.375;;;CP04;AA01;;;10000152
4500000153;COM2;14/7/2017;1009;CEN1;1000005;COMP05;2447;$ 634.823;20/7/2017;17/7/2017;CP02;AA04;;;10000153
4500000154;COM2;6/8/2016;1003;CEN3;1000004;COMP02;1468;$ 650.688;11/8/2016;25/8/2016;CP02;AA02;27/8/2016;ESTA;10000154
4500000155;COM2;19/1/2017;1007;CEN1;1000001;COMP04;1920;$ 476.810;25/1/2017;22/1/2017;CP02;AA02;;;10000155
4500000156;COM1;26/7/2017;1002;CEN1;1000005;COMP02;1657;$ 741.067;12/10/2017;3/11/2017;CP03;AA01;;;10000156
4500000157;COM2;6/11/2016;1006;CEN2;1000006;COMP03;5273;$ 205.760;13/11/2016;9/11/2016;CP01;AA03;;;10000157
4500000158;COM3;22/11/2016;1007;CEN3;1000002;COMP01;5428;$ 663.350;4/12/2016;28/12/2016;CP02;AA02;;;10000158
4500000159;COM3;21/11/2016;1009;CEN3;1000006;COMP05;1367;$ 546.662;;;CP02;AA01;;;10000159
4500000160;COM2;28/12/2017;1003;CEN2;1000004;COMP01;330;$ 774.670;2/1/2018;10/1/2018;CP03;AA02;;;10000160
4500000161;COM3;17/4/2017;1008;CEN1;1000002;COMP01;1484;$ 777.649;22/4/2017;21/4/2017;CP02;AA04;;;10000161
4500000162;COM1;3/1/2016;1001;CEN2;1000004;COMP04;4377;$ 465.475;21/1/2016;23/1/2016;CP03;AA01;;;10000162
4500000163;COM1;30/5/2016;1004;CEN3;1000002;COMP03;1255;$ 684.545;3/6/2016;27/5/2016;CP03;AA03;;;10000163
4500000164;COM3;10/9/2017;1001;CEN3;1000006;COMP04;325;$ 45.707;2/10/2017;5/10/2017;CP02;AA03;;;10000164
4500000165;COM1;26/1/2017;1009;CEN1;1000003;COMP03;3795;$ 489.731;26/3/2017;18/3/2017;CP02;AA04;;;10000165
4500000166;COM3;6/4/2017;1008;CEN2;1000005;COMP02;3893;$ 723.917;;;CP03;AA04;;;10000166
4500000167;COM2;24/2/2016;1008;CEN3;1000005;COMP02;4753;$ 583.766;15/5/2016;3/5/2016;CP04;;5/5/2016;PLAZ;10000167
4500000168;COM2;27/6/2016;1008;CEN2;1000001;COMP02;5375;$ 797.269;15/7/2016;1/8/2016;CP03;AA03;;;10000168
4500000169;COM3;9/11/2016;1005;CEN3;1000004;COMP03;4080;$ 881.216;19/12/2016;12/12/2016;CP04;AA03;;;10000169
4500000170;COM3;25/9/2016;1007;CEN3;1000006;COMP01;3245;$ 409.261;30/10/2016;5/11/2016;CP01;AA02;;;10000170
4500000171;COM3;11/2/2016;1007;CEN3;1000005;COMP01;3650;$ 774.600;22/2/2016;21/2/2016;CP04;AA04;;;10000171
4500000172;COM1;8/4/2016;1010;CEN1;1000002;COMP03;3667;$ 962.457;5/6/2016;6/6/2016;CP02;AA04;;;10000172
4500000173;COM1;28/2/2016;1004;CEN3;1000002;COMP03;5104;$ 969.721;;;CP03;AA02;;;10000173
4500000174;COM3;29/5/2017;1003;CEN2;1000001;COMP01;1125;$ 729.748;8/8/2017;30/8/2017;CP01;AA01;;;10000174
4500000175;COM1;29/7/2017;1007;CEN2;1000004;COMP05;740;$ 576.700;23/10/2017;22/10/2017;CP01;AA01;;;10000175
4500000176;COM2;26/2/2017;1006;CEN1;1000001;COMP02;1369;$ 190.275;6/3/2017;22/3/2017;CP02;AA04;;;10000176
4500000177;COM3;15/9/2017;1008;CEN1;1000001;COMP04;1901;$ 548.182;3/10/2017;1/10/2017;CP03;AA04;;;10000177
4500000178;COM2;22/3/2017;1003;CEN1;1000003;COMP04;180;$ 626.347;29/3/2017;17/4/2017;CP04;AA03;;;10000178
4500000179;COM2;1/3/2017;1002;CEN1;1000005;COMP03;4403;$ 809.331;15/4/2017;23/3/2017;CP04;AA02;;;10000179
4500000180;COM3;18/5/2016;1006;CEN3;1000004;COMP05;70;$ 894.163;;;CP03;AA01;;;10000180
4500000181;COM2;16/11/2017;1000;CEN1;1000003;COMP02;4341;$ 718.723;20/11/2017;16/11/2017;CP04;AA01;;;10000181
4500000182;COM2;28/8/2017;1010;CEN2;1000006;COMP04;3131;$ 390.401;24/9/2017;17/10/2017;CP04;AA03;;;10000182
4500000183;COM3;19/4/2016;1010;CEN1;1000003;COMP03;5579;$ 603.728;20/4/2016;18/4/2016;CP02;AA02;;;10000183
4500000184;COM1;9/3/2016;1005;CEN1;1000003;COMP03;5159;$ 439.760;21/3/2016;15/4/2016;CP03;AA01;;;10000184
4500000185;COM1;19/12/2016;1009;CEN3;1000001;COMP02;3909;$ 742.149;16/1/2017;4/1/2017;CP01;AA02;;;10000185
4500000186;COM1;26/2/2016;1001;CEN1;1000006;COMP05;4509;$ 233.414;12/3/2016;23/3/2016;CP02;AA03;;;10000186
4500000187;COM2;7/10/2017;1003;CEN2;1000003;COMP04;1135;$ 294.040;;;CP02;AA03;;;10000187
4500000188;COM3;24/8/2016;1008;CEN1;1000002;COMP02;5253;$ 282.605;2/9/2016;3/9/2016;CP03;;;;10000188
4500000189;COM3;6/7/2017;1004;CEN3;1000006;COMP01;3152;$ 879.162;9/7/2017;5/7/2017;CP04;AA03;;;10000189
4500000190;COM2;19/4/2016;1000;CEN1;1000003;COMP05;4250;$ 173.633;23/5/2016;28/5/2016;CP02;AA02;;;10000190
4500000191;COM3;25/1/2016;1009;CEN2;1000004;COMP03;2324;$ 346.140;6/2/2016;4/2/2016;CP03;AA04;;;10000191
4500000192;COM3;27/2/2017;1006;CEN1;1000002;COMP01;3212;$ 228.626;28/2/2017;3/3/2017;CP04;AA04;;;10000192
4500000193;COM1;5/5/2017;1006;CEN1;1000004;COMP01;1082;$ 379.617;17/7/2017;25/6/2017;CP02;AA01;29/6/2017;ESTA;10000193
4500000194;COM1;10/3/2016;1006;CEN3;1000004;COMP05;1451;$ 17.631;;;CP02;AA02;;;10000194
4500000195;COM2;12/10/2016;1001;CEN3;1000003;COMP05;4884;$ 868.490;15/12/2016;14/12/2016;CP03;AA02;;;10000195
4500000196;COM3;27/11/2017;1008;CEN3;1000004;COMP02;5523;$ 935.187;2/12/2017;15/12/2017;CP03;AA02;;;10000196
